legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
MSO_b1f15i2_1,msob1f15i2c1,mso,child,msob1f15i2,1,RS022-033b001f015i002_tif,rs022-033b001f015i002_jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f015i002_jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i002_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f15i2c1.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f15i2c1.txt,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f15i2_2,msob1f15i2c2,mso,child,msob1f15i2,2,RS022-033b001f015i003_tif,rs022-033b001f015i003_jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f015i003_jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i003_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f15i2c2_txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f15i2c2_txt,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f15i3,msob1f15i3,mso,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i004_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/pdf/msob1f15i3_pdf,Constitution of the Black Student Alliance,https://n2t.net/ark:/87292/w9sq8qp7r,,,RS 22/3,Iowa State University. Student Organizations - Multicultural Organizations records,https://n2t.net/ark:/87292/w9tj89,,"Black Student Alliance (formerly Black Student Government), 1992-2014",1,15,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Black Student Alliance (Iowa State University),,,,,,,,,,"Constitution of the Black Student Alliance that lays out the purpose of the organization, membership, executive board, and executive board's duties.",,eng,2010s,,,,,College students--Societies and clubs;African Americans;Black people,http://id.worldcat.org/fast/868054;http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880,,,,,,11 pages,,,administrative records,http://vocab.getty.edu/aat/300027425,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2011/2012,2022-02-21,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f15i3_01,msob1f15i3c01,mso,child,msob1f15i3,1,RS022-033b001f015i004.tif,rs022-033b001f015i004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f015i004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i004_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f15i3c01.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f15i3c01.txt,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f15i3_02,msob1f15i3c02,mso,child,msob1f15i3,2,RS022-033b001f015i005_tif,rs022-033b001f015i005_jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f015i005_jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i005_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f15i3c02_txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f15i3c02_txt,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f15i3_03,msob1f15i3c03,mso,child,msob1f15i3,3,RS022-033b001f015i006.tif,rs022-033b001f015i006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f015i006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i006_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f15i3c03_txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f15i3c03_txt,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f15i3_04,msob1f15i3c04,mso,child,msob1f15i3,4,RS022-033b001f015i007.tif,rs022-033b001f015i007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f015i007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i007_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f15i3c04.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f15i3c04.txt,,,Page 4,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f15i3_05,msob1f15i3c05,mso,child,msob1f15i3,5,RS022-033b001f015i008.tif,rs022-033b001f015i008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f015i008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i008_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f15i3c05_txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f15i3c05_txt,,,Page 5,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f15i3_06,msob1f15i3c06,mso,child,msob1f15i3,6,RS022-033b001f015i009.tif,rs022-033b001f015i009.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f015i009.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i009_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i009_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f15i3c06.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f15i3c06.txt,,,Page 6,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
MSO_b1f15i3_07,msob1f15i3c07,mso,child,msob1f15i3,7,RS022-033b001f015i010.tif,rs022-033b001f015i010.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/rs022-033b001f015i010.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/small/rs022-033b001f015i010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/thumbs/rs022-033b001f015i010_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/ocr/msob1f15i3c07.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/mso/hocr/msob1f15i3c07.txt,,,Page 7,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,2022-02-21,,,,,,,Iowa State University multicultural student organizations collection,https://n2t.net/ark:/87292/w9cn6z51v,,,reformatted digital; Digitized with Epson Expression 12000XL
